,Medication,DrugBank ID
0,"Azithromycin, Oral",DB00207
1,"Amoxicillin, Oral",DB01060
2,"Acetaminophen, Oral",DB00316
3,"Terconazole, Vaginal",DB00251
4,"Ondansetron, Oral",DB00904
5,"Pantothenic acid, Oral",DB01783
6,"Cephalexin, Oral",DB00567
7,"Omega-3 fatty acids, Oral",DB11133
8,"Docusate, Oral",DB11089
9,"Linoleic acid, Oral",DB14104
10,"Glyburide, Oral",DB01016
11,"Fish oil, Oral",DB13961
12,"Sertraline, Oral",DB01104
13,"Hydrocodone, Oral",DB00956
14,"Fluoxetine, Oral",DB00472
15,"Zolpidem, Oral",DB00425
16,"Codeine, Oral",DB00318
17,"Oxycodone, Oral",DB00497
18,"Metronidazole, Oral",DB00916
19,"Nitrofurantoin, Oral",DB00698
20,"Icosapent, Oral",DB00159
21,"Terbutaline, Oral",DB00871
22,"Ascorbic acid, Oral",DB00126
23,"Doconexent, Oral",DB03756
24,"Salbutamol, Inhalation",DB01001
25,"Folic acid, Oral",DB00158
26,"Calcium, Oral",DB01373
27,"Iodine, Oral",DB05382
28,"Pyridoxine, Oral",DB00165
29,"Fluconazole, Oral",DB00196
30,"Escitalopram, Oral",DB01175
31,"Promethazine, Oral",DB01069
32,"Clavulanic acid, Oral",DB00766
33,"Nifedipine, Oral",DB01115
34,"Hydroxyzine, Oral",DB00557
35,"Cyanocobalamin, Oral",DB00115
36,"Cholecalciferol, Oral",DB00169
37,"Iron, Oral",DB01592
38,"Esomeprazole, Oral",DB00736
39,"Enoxaparin, Subcutaneous",DB01225
40,"Prednisone, Oral",DB00635
41,"Copper, Oral",DB09130
42,"Pantoprazole, Oral",DB00213
43,"Buprenorphine, Sublingual",DB00921
44,"Nicotinamide, Oral",DB02701
45,"Biotin, Oral",DB00121
46,"Labetalol, Oral",DB00598
47,"Ferrous fumarate, Oral",DB14491
48,"Cyclobenzaprine, Oral",DB00924
49,"Omeprazole, Oral",DB00338
50,"Ranitidine, Oral",DB00863
51,"Montelukast, Oral",DB00471
52,"Valaciclovir, Oral",DB00577
53,"Niacin, Oral",DB00627
54,"Heparin, Injection",DB01109
55,"Bupropion, Oral",DB01156
56,"Butalbital, Oral",DB00241
57,"Lansoprazole, Oral",DB00448
58,"Citalopram, Oral",DB00215
59,"Betamethasone, Topical application",DB00443
60,"Methyldopa, Oral",DB00968
61,"Caffeine, Oral",DB00201
62,"Guaifenesin, Oral",DB00874
63,"Succinic acid, Oral",DB00139
64,"Levothyroxine, Oral",DB00451
65,"Clotrimazole, Topical application",DB00257
66,"Progesterone, Oral",DB00396
67,"Ibuprofen, Oral",DB01050
68,"Methylprednisolone, Oral",DB00959
69,"Metronidazole, Vaginal",DB00916
70,"Lamotrigine, Oral",DB00555
71,"Lauric acid, Oral",DB03017
72,"Magnesium, Oral",DB14513
73,"Ampicillin, Oral",DB00415
74,"Metformin, Oral",DB00331
75,"Hydrocortisone, Topical application",DB00741
76,"Oseltamivir, Oral",DB00198
77,"Insulin lispro, Injection",DB00046
78,"Nystatin, Topical application",DB00646
79,"Indomethacin, Oral",DB00328
80,"Metoclopramide, Oral",DB01233
81,"Human Rho(D) immune globulin, Intramuscular",DB11597
82,"Hydrocortisone acetate, Topical application",DB14539
83,"Trimethoprim, Oral",DB00440
84,"Clindamycin, Oral",DB01190
85,"Sulfamethoxazole, Oral",DB01015
86,"Phenoxymethylpenicillin, Oral",DB00417
87,"Pramocaine, Topical application",DB09345
88,"Tobramycin, Ophthalmic",DB00684
89,"Calcium carbonate, Oral",DB06724
90,"Metoprolol, Oral",DB00264
91,"Insulin aspart, Injection",DB01306
92,"Ursodeoxycholic acid, Oral",DB01586
