,Disease,Medication,odds ratio,p-val,weight,weight_modi,color,color_clicked,95% CI (LL),95% CI (UL)
0,NAS_Baby,"Buprenorphine, Sublingual",551.1284388186492,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,421.5798763067682,720.486373153303
1,RDS_Baby,"Labetalol, Oral",4.026080407157029,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,3.776601777276927,4.292039351996823
2,RDS_Baby,"Nifedipine, Oral",3.424259202488653,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,3.2323846135243044,3.62752348119976
3,RDS_Baby,"Methyldopa, Oral",3.886886769560978,4.513459383120663e-286,9.511516348714252,9.511516348714252,#c9c9c9,#FF0000,3.6110242336174494,4.183823697093665
4,BPD_OLD_Baby,"Labetalol, Oral",2.992173295837303,1.514969101089325e-284,9.46065320749424,9.46065320749424,#c9c9c9,#FF0000,2.8190738815798446,3.175901522419283
5,Other_Resp_Dis_Baby,"Labetalol, Oral",2.9208038745742737,9.057189786338082e-264,8.768100217728675,8.768100217728675,#c9c9c9,#FF0000,2.7491999600059067,3.1031192338987807
6,ROP_Baby,"Labetalol, Oral",5.9693500637705466,3.269852514705129e-240,7.982849061185475,7.982849061185475,#c9c9c9,#FF0000,5.370042896829203,6.635541068932128
7,BPD_OLD_Baby,"Nifedipine, Oral",2.419709943509197,1.0752924584926832e-222,7.39894911333625,7.39894911333625,#c9c9c9,#FF0000,2.2916708549445786,2.554902768032489
8,Other_Resp_Dis_Baby,"Nifedipine, Oral",2.3890173690749106,7.593538263214483e-211,7.003985193811267,7.003985193811267,#c9c9c9,#FF0000,2.2609866796971816,2.5242979275340143
9,Hypoglycemia_Baby,"Glyburide, Oral",3.2439739163724304,8.673257452730364e-181,6.002060592067782,6.002060592067782,#c9c9c9,#FF0000,2.99323174771986,3.5157206848821585
10,NAS_Baby,"Oxycodone, Oral",18.576106358088207,3.6144624978173916e-175,5.814731875898511,5.814731875898511,#c9c9c9,#FF0000,15.163962355879455,22.75603957122804
11,BPD_OLD_Baby,"Methyldopa, Oral",2.6789924582676186,1.5226142850266006e-165,5.4939136700004285,5.4939136700004285,#c9c9c9,#FF0000,2.496789731605166,2.874491392128861
12,Other_Resp_Dis_Baby,"Methyldopa, Oral",2.5883895155158942,2.7344430757679623e-148,4.918771037103826,4.918771037103826,#c9c9c9,#FF0000,2.408880420957164,2.781275577544223
13,NAS_Baby,"Naloxone, Sublingual",479.7121034078335,4.211344878441687e-148,4.912519306385721,4.912519306385721,#c9c9c9,#FF0000,300.7721635993229,765.1097076341474
14,ROP_Baby,"Methyldopa, Oral",5.275833576442142,1.669799042958619e-147,4.8925778597399034,4.8925778597399034,#c9c9c9,#FF0000,4.651117209102287,5.984458932112486
15,NAS_Baby,"Methadone, Oral",840.5064705884583,9.628440803629416e-147,4.867214801177554,4.867214801177554,#c9c9c9,#FF0000,503.8987119030864,1401.9704960804445
16,RDS_Baby,"Indomethacin, Oral",10.67463793020839,2.280034126405472e-144,4.788068621754975,4.788068621754975,#c9c9c9,#FF0000,8.903752217254775,12.797738769080024
17,ROP_Baby,"Indomethacin, Oral",19.95160336929472,2.7850011584234575e-134,4.451839153994836,4.451839153994836,#c9c9c9,#FF0000,15.727569984950104,25.310106862443902
18,Hypoglycemia_Baby,"Labetalol, Oral",2.9584908162032275,4.479674949947461e-130,4.311625116591175,4.311625116591175,#c9c9c9,#FF0000,2.7103285299473434,3.229375263126824
19,NAS_Baby,"Morphine, Oral",457.5767056530102,1.1955088570666627e-126,4.197414906733834,4.197414906733834,#c9c9c9,#FF0000,277.1056779014927,755.5833685612608
