,Medication,odds ratio,p-val,95% CI (LL),95% CI (UL),best_shrink_coeff,Disease
0,"Buprenorphine, Sublingual",5.017386177785247,1.3425506791098036e-11,3.144152604935164,8.006661005422021,0.0370837232957053,Neonatal Abstinence Syndrome (NAS)
1,"Labetalol, Oral",1.2018828451159589,2.5686829620657448e-05,1.1032417167483188,1.3093435023845907,1.0,Newborn Respiratory Distress Syndrome (RDS)
2,"Nifedipine, Oral",1.2522167967042297,2.2124369875359528e-10,1.1681814866251146,1.3422973432649594,1.0,Newborn Respiratory Distress Syndrome (RDS)
3,"Methyldopa, Oral",1.2791886904213292,6.199896683956339e-07,1.1611542204403615,1.4092216838184235,1.0,Newborn Respiratory Distress Syndrome (RDS)
4,"Labetalol, Oral",1.2111777659366254,1.7640688487176337e-07,1.127149031087719,1.3014708261636,0.0164375939775961,Bronchopulmonary Dysplasia (BPD)
5,"Labetalol, Oral",1.1796032352758783,7.80994714811938e-06,1.0971958447154513,1.2682000204204058,0.0109887655923784,Other Respiratory Disorder
6,"Labetalol, Oral",1.1854283072663123,0.0158829042815849,1.0323690770045053,1.3611801273103634,0.0204746123563714,Retinopathy of Prematurity (ROP)
7,"Nifedipine, Oral",1.147471111537647,8.311629968292208e-06,1.080115800639874,1.2190266553210498,0.353390967664174,Bronchopulmonary Dysplasia (BPD)
8,"Nifedipine, Oral",1.14873790839271,7.613672100240781e-06,1.081060167297162,1.220652487342757,0.29708759327627,Other Respiratory Disorder
9,"Glyburide, Oral",1.885600028906028,4.262556790519917e-46,1.7281173289744325,2.057434069664964,7.734978776351349,Neonatal Hypoglycemia
10,"Oxycodone, Oral",6.4475212996214015,6.049993003387236e-41,4.909143946841293,8.467979623172289,0.1773688269855912,Neonatal Abstinence Syndrome (NAS)
11,"Methyldopa, Oral",1.1274233860092446,0.0046537840308489,1.0375622846279595,1.2250671696073887,0.0236969479463095,Bronchopulmonary Dysplasia (BPD)
12,"Methyldopa, Oral",1.0941163688943327,0.0350704784547527,1.006318376409262,1.1895744495434637,0.014597834309391,Other Respiratory Disorder
13,"Naloxone, Sublingual",1.6902765652452911,0.2125743846525447,0.7405050674441577,3.858224599162344,0.0904982394983616,Neonatal Abstinence Syndrome (NAS)
14,"Methyldopa, Oral",1.121877392335613,0.1611508575830145,0.9551763881360054,1.3176716877286794,0.0485186907203205,Retinopathy of Prematurity (ROP)
15,"Methadone, Oral",1.792538495536175,0.3300642436163187,0.5538726757983882,5.80132293644453,0.218545263735865,Neonatal Abstinence Syndrome (NAS)
16,"Indomethacin, Oral",1.4827572306450716,0.0015415028522271,1.161961081723614,1.8921193141589203,1.0,Newborn Respiratory Distress Syndrome (RDS)
17,"Indomethacin, Oral",1.485861273879408,0.0251127756286366,1.050696875208565,2.101256582471789,0.052048539883656,Retinopathy of Prematurity (ROP)
18,"Labetalol, Oral",1.1508252696378256,0.004049523813217,1.045700263979211,1.2665185683297329,7.11247715674766,Neonatal Hypoglycemia
19,"Morphine, Oral",1.5854425308239375,0.5809124336437376,0.3087107321657859,8.142340892753698,0.1047544231827263,Neonatal Abstinence Syndrome (NAS)
20,"Nifedipine, Oral",1.1243812292409825,0.0754884255931928,0.9880368740350424,1.2795404522773153,0.5438649095093331,Retinopathy of Prematurity (ROP)
21,"Labetalol, Oral",1.04002359603825,0.5500847191627428,0.914427549358241,1.1828701804483588,0.362131501067076,Anemia of Prematurity (AOP)
22,"Nifedipine, Oral",1.133283995891674,0.0215653175989221,1.0185725918124124,1.2609141711332557,0.5017793203964181,Anemia of Prematurity (AOP)
23,"Progesterone, Oral",1.5687349194290456,7.738077335883885e-06,1.28780768518372,1.9109446819965008,1.0,Newborn Respiratory Distress Syndrome (RDS)
24,"Acetaminophen, Oral",4.528975945861612,8.0905415963660145e-53,3.732026598244976,5.496108502506088,0.0218628245928159,Neonatal Abstinence Syndrome (NAS)
25,"Nifedipine, Oral",1.153196996362813,0.0062964249674097,1.0410994059893113,1.2773643945714317,0.0643300734644503,Neonatal Anemia
26,"Labetalol, Oral",1.044523799834929,0.4952581710696447,0.921610667462598,1.183829578953823,0.0705880572780357,Neonatal Anemia
27,"Acetaminophen, Oral",1.2474484573114115,5.821777436350549e-14,1.1775228556337298,1.3215264962403896,1.0,Newborn Respiratory Distress Syndrome (RDS)
28,"Nifedipine, Oral",1.150134744492571,5.175362400438118e-13,1.1072841513986975,1.1946436050927365,4.324436173475016,Neonatal Jaundice
29,"Clonazepam, Oral",1.7492293102221037,0.1604240587554095,0.8012182621564831,3.818938389527743,0.1054826800327907,Neonatal Abstinence Syndrome (NAS)
30,"Indomethacin, Oral",1.4000765969564857,0.1188941652414136,0.9171949896563218,2.137184022428815,0.119976735925155,Intraventricular Hemorrhage (IVH)
31,"Insulin lispro, Injection",1.303081332121182,0.0025703620448387,1.097059562060208,1.5477928608852731,0.0304780587759075,Neonatal Hypoglycemia
