node,New_Med_Group,tsne-origin-one,tsne-origin-two,tsne-origin-one-modi,tsne-origin-two-modi,color
"5-methyltetrahydrofolic acid, Oral",Other Medications,-25.638320693430572,-38.89498743038392,-25.638320693430572,1261.105012569616,#ff7ca6
"Alendronic acid, Oral",Other Medications,33.06208731118585,-60.395555667201805,33.06208731118585,1239.6044443327983,#ff7ca6
"Allopurinol, Oral",Other Medications,64.27755418579162,-88.62500354917877,64.27755418579162,1211.3749964508213,#ff7ca6
"Bupivacaine, Injection",Other Medications,61.14716390318381,-0.6825312571162669,61.14716390318381,1299.3174687428836,#ff7ca6
"Colchicine, Oral",Other Medications,-97.09689779397578,29.313883806392198,-97.09689779397578,1329.3138838063921,#ff7ca6
"Darifenacin, Oral",Other Medications,-34.41949265198588,-70.18021072834713,-34.41949265198588,1229.8197892716528,#ff7ca6
"Dimethyl fumarate, Oral",Other Medications,4.877363790547804,-82.266042022113,4.877363790547804,1217.733957977887,#ff7ca6
"Dinoprostone, Vaginal",Other Medications,-62.65054584142783,-94.52453155545183,-62.65054584142783,1205.4754684445481,#ff7ca6
"Dyphylline, Oral",Other Medications,88.40105471427304,24.71092746935085,88.40105471427304,1324.7109274693507,#ff7ca6
"Fesoterodine, Oral",Other Medications,-8.653874209912487,-19.68026223746611,-8.653874209912487,1280.3197377625338,#ff7ca6
"Finasteride, Oral",Other Medications,34.25210675603839,-15.531322494789151,34.25210675603839,1284.468677505211,#ff7ca6
"Flavoxate, Oral",Other Medications,-90.42750395567023,-60.746736576146716,-90.42750395567023,1239.2532634238532,#ff7ca6
"Glatiramer, Multiple Routes",Other Medications,41.56203065827495,82.57741157798984,41.56203065827495,1382.5774115779898,#ff7ca6
"Glatiramer, Subcutaneous",Other Medications,150.0,-28.044789531448657,150.0,1271.9552104685513,#ff7ca6
"Glucosamine, Oral",Other Medications,-7.5052785017499275,-45.92528256577107,-7.5052785017499275,1254.074717434229,#ff7ca6
"Hyaluronic acid, Injection",Other Medications,-38.668506156429174,9.915363848715572,-38.668506156429174,1309.9153638487155,#ff7ca6
"Hyaluronic acid, Oromucosal",Other Medications,29.448641591306,10.85023030181236,29.448641591306,1310.8502303018124,#ff7ca6
"Hyaluronic acid, Topical application",Other Medications,39.07189136121917,-127.42114502112202,39.07189136121917,1172.578854978878,#ff7ca6
"Ibandronate, Oral",Other Medications,-56.113950785298655,35.72308697627727,-56.113950785298655,1335.7230869762773,#ff7ca6
"Imiglucerase, Intravenous",Other Medications,4.313584533465615,14.575729737748645,4.313584533465615,1314.5757297377486,#ff7ca6
"Interferon beta-1a, Multiple Routes",Other Medications,100.22431389843018,-17.42777942837887,100.22431389843018,1282.572220571621,#ff7ca6
"Interferon beta-1a, Subcutaneous",Other Medications,138.77597791123867,31.77174758780629,138.77597791123867,1331.7717475878062,#ff7ca6
"Interferon beta-1b, Multiple Routes",Other Medications,10.558025989851785,37.91616524714516,10.558025989851785,1337.9161652471453,#ff7ca6
"Interferon beta-1b, Subcutaneous",Other Medications,12.991949067185828,58.26500513004643,12.991949067185828,1358.2650051300463,#ff7ca6
"Levonorgestrel, Intrauterine",Other Medications,-105.43101542615042,84.1090342085192,-105.43101542615042,1384.1090342085192,#ff7ca6
"Levonorgestrel, Oral",Other Medications,-150.0,-1.9121119417939667,-150.0,1298.087888058206,#ff7ca6
"Methylergometrine, Injection",Other Medications,-19.407813487613538,-118.13980974110675,-19.407813487613538,1181.8601902588932,#ff7ca6
"Methylergometrine, Oral",Other Medications,-26.270078659437175,-144.7990853878817,-26.270078659437175,1155.2009146121184,#ff7ca6
"Orlistat, Oral",Other Medications,63.41152613373666,-39.93602313761804,63.41152613373666,1260.0639768623819,#ff7ca6
"Oxybutynin, Oral",Other Medications,-60.46689573597209,75.36133258304852,-60.46689573597209,1375.3613325830486,#ff7ca6
"Oxybutynin, Transdermal",Other Medications,-103.75645212600448,-19.405686884943663,-103.75645212600448,1280.5943131150564,#ff7ca6
"Oxytocin, Injection",Other Medications,-65.38833131834313,130.08177962492363,-65.38833131834313,1430.0817796249237,#ff7ca6
