node,tsne-origin-one,tsne-origin-two,tsne-origin-one-modi,tsne-origin-two-modi,New_Med_Group,color
Newborn Respiratory Distress Syndrome (RDS),-283.86243,785.62115,-135.17258571428573,374.1053095238095,Disease,#696969
Neonatal Jaundice,557.7236,-991.23645,265.5826666666667,-472.0173571428571,Disease,#696969
Bronchopulmonary Dysplasia (BPD),-1104.6278,3.94334,-526.0132380952381,1.8777809523809523,Disease,#696969
Other Respiratory Disorder,-1042.1656,110.24445,-496.26933333333335,52.49735714285714,Disease,#696969
Kernicterus,-22.788532,98.633934,-10.851681904761904,46.96854,Disease,#696969
Transient Tachypnea of the Newborn (TTN),514.78906,344.09674,245.1376476190476,163.85559047619049,Disease,#696969
Neonatal Sepsis,326.93115,-289.49564,155.6815,-137.85506666666666,Disease,#696969
Intraventricular Hemorrhage (IVH),43.37233,-280.99747,20.65349047619048,-133.80831904761905,Disease,#696969
Gestational Alloimmune Liver Disease (GALD),10.749731,-40.935673,5.118919523809524,-19.49317761904761,Disease,#696969
Neonatal Seizure,182.98254,267.3116,87.13454285714285,127.29123809523809,Disease,#696969
Necrotizing Enterocolitis (NEC),168.03659,-85.5614,80.0174238095238,-40.74352380952381,Disease,#696969
Persistent Pulmonary Hypertension of the Newborn (PPHN),-406.22284,376.0372,-193.43944761904763,179.0653333333333,Disease,#696969
Neonatal Hypoglycemia,-132.0521,284.84048,-62.88195238095238,135.6383238095238,Disease,#696969
Neonatal Abstinence Syndrome (NAS),140.11374,82.47376,66.72082857142857,39.27321904761904,Disease,#696969
Neonatal Arrhythmia,-470.4095,-279.38324,-224.0045238095238,-133.0396380952381,Disease,#696969
Neonatal Pneumonia,410.09247,44.706062,195.28212857142856,21.28860095238096,Disease,#696969
neonatal urinary tract infection (UTI),45.994972,505.281,21.902367619047617,240.61,Disease,#696969
Small for Gestational Age (SGA),370.5382,682.9693,176.4467619047619,325.22347619047616,Disease,#696969
Large for Gestational Age (LGA),-171.00371,-527.125,-81.4303380952381,-251.0119047619048,Disease,#696969
Postmaturity Syndrome,664.6636,-172.08913,316.5064761904762,-81.94720476190476,Disease,#696969
Neonatal Death,-184.67458,-144.00255,-87.94027619047618,-68.57264285714287,Disease,#696969
Retinopathy of Prematurity (ROP),-353.6866,90.17471,-168.42219047619048,42.9403380952381,Disease,#696969
Anemia of Prematurity (AOP),255.64429,-879.8669,121.7353761904762,-418.9842380952381,Disease,#696969
Neonatal Anemia,377.93918,-918.77545,179.9710380952381,-437.512119047619,Disease,#696969
"5-methyltetrahydrofolic acid, Oral",-25.63832069343057,-38.89498743038392,-25.63832069343057,1261.105012569616,Other Medications,#138484
"Alendronic acid, Oral",33.06208731118585,-60.395555667201805,33.06208731118585,1239.6044443327985,Other Medications,#138484
"Allopurinol, Oral",64.27755418579162,-88.62500354917877,64.27755418579162,1211.3749964508213,Other Medications,#138484
"Bupivacaine, Injection",61.14716390318381,-0.6825312571162669,61.14716390318381,1299.3174687428836,Other Medications,#138484
"Colchicine, Oral",-97.09689779397578,29.3138838063922,-97.09689779397578,1329.313883806392,Other Medications,#138484
"Darifenacin, Oral",-34.41949265198588,-70.18021072834713,-34.41949265198588,1229.8197892716528,Other Medications,#138484
"Dimethyl fumarate, Oral",4.877363790547804,-82.266042022113,4.877363790547804,1217.733957977887,Other Medications,#138484
"Dinoprostone, Vaginal",-62.65054584142783,-94.52453155545184,-62.65054584142783,1205.475468444548,Other Medications,#138484
"Dyphylline, Oral",88.40105471427304,24.71092746935085,88.40105471427304,1324.7109274693507,Other Medications,#138484
"Fesoterodine, Oral",-8.653874209912487,-19.68026223746611,-8.653874209912487,1280.3197377625338,Other Medications,#138484
"Finasteride, Oral",34.25210675603839,-15.531322494789151,34.25210675603839,1284.468677505211,Other Medications,#138484
"Flavoxate, Oral",-90.42750395567025,-60.74673657614672,-90.42750395567025,1239.2532634238532,Other Medications,#138484
"Glatiramer, Multiple Routes",41.56203065827495,82.57741157798984,41.56203065827495,1382.5774115779898,Other Medications,#138484
"Glatiramer, Subcutaneous",150.0,-28.044789531448657,150.0,1271.9552104685513,Other Medications,#138484
"Glucosamine, Oral",-7.505278501749927,-45.92528256577107,-7.505278501749927,1254.074717434229,Other Medications,#138484
"Hyaluronic acid, Injection",-38.66850615642917,9.915363848715572,-38.66850615642917,1309.9153638487155,Other Medications,#138484
"Hyaluronic acid, Oromucosal",29.448641591306,10.85023030181236,29.448641591306,1310.8502303018124,Other Medications,#138484
"Hyaluronic acid, Topical application",39.07189136121917,-127.42114502112202,39.07189136121917,1172.578854978878,Other Medications,#138484
"Ibandronate, Oral",-56.113950785298655,35.72308697627727,-56.113950785298655,1335.7230869762773,Other Medications,#138484
"Imiglucerase, Intravenous",4.313584533465615,14.575729737748643,4.313584533465615,1314.5757297377486,Other Medications,#138484
"Interferon beta-1a, Multiple Routes",100.22431389843018,-17.42777942837887,100.22431389843018,1282.572220571621,Other Medications,#138484
"Interferon beta-1a, Subcutaneous",138.77597791123867,31.77174758780629,138.77597791123867,1331.7717475878062,Other Medications,#138484
"Interferon beta-1b, Multiple Routes",10.558025989851783,37.91616524714516,10.558025989851783,1337.9161652471453,Other Medications,#138484
"Interferon beta-1b, Subcutaneous",12.991949067185828,58.26500513004643,12.991949067185828,1358.2650051300463,Other Medications,#138484
"Levonorgestrel, Intrauterine",-105.43101542615042,84.1090342085192,-105.43101542615042,1384.1090342085192,Other Medications,#138484
"Levonorgestrel, Oral",-150.0,-1.9121119417939667,-150.0,1298.087888058206,Other Medications,#138484
"Methylergometrine, Injection",-19.40781348761353,-118.13980974110676,-19.40781348761353,1181.8601902588932,Other Medications,#138484
"Methylergometrine, Oral",-26.27007865943717,-144.7990853878817,-26.27007865943717,1155.2009146121184,Other Medications,#138484
"Orlistat, Oral",63.41152613373666,-39.93602313761804,63.41152613373666,1260.063976862382,Other Medications,#138484
"Oxybutynin, Oral",-60.46689573597209,75.36133258304852,-60.46689573597209,1375.3613325830486,Other Medications,#138484
"Oxybutynin, Transdermal",-103.75645212600448,-19.405686884943663,-103.75645212600448,1280.5943131150564,Other Medications,#138484
"Oxytocin, Injection",-65.38833131834313,130.08177962492363,-65.38833131834313,1430.0817796249237,Other Medications,#138484
"Pentosan polysulfate, Oral",-16.38133737495528,96.12071691856497,-16.38133737495528,1396.120716918565,Other Medications,#138484
"Phenazopyridine, Oral",110.86840314195472,97.42216374793936,110.86840314195472,1397.4221637479393,Other Medications,#138484
"Potassium nitrate, Dental",24.892479738710364,127.17899733879096,24.892479738710364,1427.1789973387909,Other Medications,#138484
