,Medication,odds ratio,p-val,weight,weight_modi,color,color_clicked,95% CI (LL),95% CI (UL),Disease
0,"Buprenorphine, Sublingual",551.1284388186492,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,421.5798763067682,720.486373153303,Neonatal Abstinence Syndrome (NAS)
1,"Labetalol, Oral",4.026080407157029,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,3.776601777276927,4.292039351996823,Newborn Respiratory Distress Syndrome (RDS)
2,"Nifedipine, Oral",3.424259202488653,0.0,inf,9.511516348714252,#c9c9c9,#FF0000,3.2323846135243044,3.62752348119976,Newborn Respiratory Distress Syndrome (RDS)
3,"Methyldopa, Oral",3.886886769560978,4.513459383120663e-286,9.511516348714252,9.511516348714252,#c9c9c9,#FF0000,3.6110242336174494,4.183823697093665,Newborn Respiratory Distress Syndrome (RDS)
4,"Labetalol, Oral",2.992173295837303,1.514969101089325e-284,9.46065320749424,9.46065320749424,#c9c9c9,#FF0000,2.8190738815798446,3.175901522419283,Bronchopulmonary Dysplasia (BPD)
5,"Labetalol, Oral",2.9208038745742737,9.057189786338082e-264,8.768100217728675,8.768100217728675,#c9c9c9,#FF0000,2.7491999600059067,3.1031192338987807,Other Respiratory Disorder
6,"Labetalol, Oral",5.9693500637705466,3.269852514705129e-240,7.982849061185475,7.982849061185475,#c9c9c9,#FF0000,5.370042896829203,6.635541068932128,Retinopathy of Prematurity (ROP)
7,"Nifedipine, Oral",2.419709943509197,1.0752924584926832e-222,7.39894911333625,7.39894911333625,#c9c9c9,#FF0000,2.2916708549445786,2.554902768032489,Bronchopulmonary Dysplasia (BPD)
8,"Nifedipine, Oral",2.3890173690749106,7.593538263214483e-211,7.003985193811267,7.003985193811267,#c9c9c9,#FF0000,2.2609866796971816,2.5242979275340143,Other Respiratory Disorder
9,"Glyburide, Oral",3.2439739163724304,8.673257452730364e-181,6.002060592067782,6.002060592067782,#c9c9c9,#FF0000,2.99323174771986,3.5157206848821585,Neonatal Hypoglycemia
10,"Oxycodone, Oral",18.576106358088207,3.6144624978173916e-175,5.814731875898511,5.814731875898511,#c9c9c9,#FF0000,15.163962355879455,22.75603957122804,Neonatal Abstinence Syndrome (NAS)
11,"Methyldopa, Oral",2.6789924582676186,1.5226142850266006e-165,5.4939136700004285,5.4939136700004285,#c9c9c9,#FF0000,2.496789731605166,2.874491392128861,Bronchopulmonary Dysplasia (BPD)
12,"Methyldopa, Oral",2.5883895155158942,2.7344430757679623e-148,4.918771037103826,4.918771037103826,#c9c9c9,#FF0000,2.408880420957164,2.781275577544223,Other Respiratory Disorder
13,"Naloxone, Sublingual",479.7121034078335,4.211344878441687e-148,4.912519306385721,4.912519306385721,#c9c9c9,#FF0000,300.7721635993229,765.1097076341474,Neonatal Abstinence Syndrome (NAS)
14,"Methyldopa, Oral",5.275833576442142,1.669799042958619e-147,4.892577859739904,4.892577859739904,#c9c9c9,#FF0000,4.651117209102287,5.984458932112486,Retinopathy of Prematurity (ROP)
15,"Methadone, Oral",840.5064705884583,9.628440803629416e-147,4.867214801177554,4.867214801177554,#c9c9c9,#FF0000,503.8987119030864,1401.9704960804445,Neonatal Abstinence Syndrome (NAS)
16,"Indomethacin, Oral",10.67463793020839,2.2800341264054722e-144,4.788068621754975,4.788068621754975,#c9c9c9,#FF0000,8.903752217254775,12.797738769080024,Newborn Respiratory Distress Syndrome (RDS)
17,"Indomethacin, Oral",19.95160336929472,2.7850011584234575e-134,4.451839153994836,4.451839153994836,#c9c9c9,#FF0000,15.727569984950104,25.310106862443902,Retinopathy of Prematurity (ROP)
18,"Labetalol, Oral",2.9584908162032275,4.479674949947461e-130,4.311625116591175,4.311625116591175,#c9c9c9,#FF0000,2.7103285299473434,3.229375263126824,Neonatal Hypoglycemia
19,"Morphine, Oral",457.5767056530102,1.1955088570666627e-126,4.197414906733834,4.197414906733834,#c9c9c9,#FF0000,277.1056779014927,755.5833685612608,Neonatal Abstinence Syndrome (NAS)
20,"Nifedipine, Oral",3.699422862381319,7.073852393420566e-119,3.9383448002211625,3.9383448002211625,#c9c9c9,#FF0000,3.312059039923435,4.132091049628741,Retinopathy of Prematurity (ROP)
21,"Labetalol, Oral",3.533812018232567,2.7564263447840535e-115,3.818655120264344,3.818655120264344,#c9c9c9,#FF0000,3.170739697212833,3.938458710811888,Anemia of Prematurity (AOP)
22,"Nifedipine, Oral",3.1044831161680264,2.352498484282044e-114,3.787615688257238,3.787615688257238,#c9c9c9,#FF0000,2.8155474380816767,3.423069804548878,Anemia of Prematurity (AOP)
23,"Progesterone, Oral",5.5348994916122525,4.9138019349600986e-113,3.743619411766731,3.743619411766731,#c9c9c9,#FF0000,4.771428413240286,6.420532748063427,Newborn Respiratory Distress Syndrome (RDS)
24,"Acetaminophen, Oral",6.640069066276155,4.410031973544452e-112,3.711851942060191,3.711851942060191,#c9c9c9,#FF0000,5.6304743346248864,7.830693221311856,Neonatal Abstinence Syndrome (NAS)
25,"Nifedipine, Oral",2.883079550768929,1.8760116886988306e-108,3.59089214866762,3.59089214866762,#c9c9c9,#FF0000,2.624926274416363,3.1666213931704155,Neonatal Anemia
26,"Labetalol, Oral",3.211610993967905,7.860697027505321e-105,3.470151298076135,3.470151298076135,#c9c9c9,#FF0000,2.8909995025903674,3.56777826054057,Neonatal Anemia
27,"Acetaminophen, Oral",1.697732792430895,2.903819224216879e-103,3.417901014130387,3.417901014130387,#c9c9c9,#FF0000,1.6180418245256367,1.781348659105404,Newborn Respiratory Distress Syndrome (RDS)
28,"Nifedipine, Oral",1.499709179493815,3.474315863577352e-103,3.4153043566897456,3.4153043566897456,#c9c9c9,#FF0000,1.4454855340057204,1.5559668845839254,Neonatal Jaundice
29,"Clonazepam, Oral",57.710542423586055,8.548631958067909e-97,3.202270112669292,3.202270112669292,#c9c9c9,#FF0000,39.43765399021439,84.44991955279389,Neonatal Abstinence Syndrome (NAS)
30,"Indomethacin, Oral",22.50665228334388,4.003273505426859e-88,2.913252824589635,2.913252824589635,#c9c9c9,#FF0000,16.562519589421996,30.58407836250148,Intraventricular Hemorrhage (IVH)
31,"Insulin lispro, Injection",4.7205373124790055,9.351417932287824e-87,2.8676374177713444,2.8676374177713444,#c9c9c9,#FF0000,4.046496465856139,5.506855796497497,Neonatal Hypoglycemia
32,"Progesterone, Oral",9.123257674335898,5.315226536884735e-84,2.775815940698591,2.775815940698591,#c9c9c9,#FF0000,7.298650913705232,11.404002133604498,Retinopathy of Prematurity (ROP)
33,"Indomethacin, Oral",11.497803700062274,7.138452341759342e-83,2.738213197853448,2.738213197853448,#c9c9c9,#FF0000,8.970664550978743,14.73686694825102,Anemia of Prematurity (AOP)
34,"Methyldopa, Oral",3.3767939405067784,2.462647772283357e-80,2.65361992333378,2.65361992333378,#c9c9c9,#FF0000,2.97804136262323,3.8289385297856007,Anemia of Prematurity (AOP)
35,"Hydrocodone, Oral",7.421066606893095,1.4256326059403655e-79,2.628199746011801,2.628199746011801,#c9c9c9,#FF0000,6.027554205882578,9.13674563560062,Neonatal Abstinence Syndrome (NAS)
36,"Insulin aspart, Injection",5.060338167561025,2.73635163757196e-78,2.585427603130801,2.585427603130801,#c9c9c9,#FF0000,4.270692498608837,5.995988327049131,Neonatal Hypoglycemia
37,"Indomethacin, Oral",5.852014300994355,2.7398920549727243e-77,2.552075551566001,2.552075551566001,#c9c9c9,#FF0000,4.858342512408918,7.048920756734003,Bronchopulmonary Dysplasia (BPD)
38,"Acetaminophen, Oral",1.4732842972083406,2.946997126941557e-75,2.484354009584937,2.484354009584937,#c9c9c9,#FF0000,1.4135719044566375,1.5355190730357773,Bronchopulmonary Dysplasia (BPD)
